Data_Simulacao,Backlog_Atual,P50_Dias,P85_Dias,P95_Dias
2026-05-19 14:31:08,LANE: Backlog Fora de Sprint,1665,184,197,205
2026-05-19 14:44:01,TIPO: INI,581,162,175,183
2026-05-19 14:44:05,TIPO: EPC,274,128,145,155
2026-05-19 14:44:08,TIPO: UST,586,107,116,121
2026-05-19 14:44:09,TIPO: BUG,19,11,16,18
2026-05-19 14:44:10,TIPO: OPS,95,27,31,33
2026-05-19 14:44:10,TIPO: TST,59,20,25,28
2026-05-19 14:44:10,TIPO: UTSK,3,3,3,3
2026-05-19 14:44:11,TIPO: IMP,9,9,9,9
2026-05-19 14:44:11,TIPO: STK,35,16,21,23
2026-05-19 14:44:11,TIPO: RSCH,3,2,3,3
2026-05-19 14:44:17,SPRINT: Backlog Fora de Sprint,1665,184,197,204
2026-05-19 15:39:14,TIPO: INI,581,162,176,184
2026-05-19 15:39:18,TIPO: EPC,274,128,145,154
2026-05-19 15:39:22,TIPO: UST,586,107,116,121
2026-05-19 15:39:22,TIPO: BUG,19,11,16,18
2026-05-19 15:39:23,TIPO: OPS,95,27,31,33
2026-05-19 15:39:24,TIPO: TST,59,20,25,28
2026-05-19 15:39:24,TIPO: UTSK,3,3,3,3
2026-05-19 15:39:24,TIPO: IMP,9,9,9,9
2026-05-19 15:39:25,TIPO: STK,35,16,21,23
2026-05-19 15:39:25,TIPO: RSCH,3,2,3,3
2026-05-19 15:39:31,SPRINT: Backlog Fora de Sprint,1665,183,197,204
2026-05-19 16:06:08,TIPO: INI,581,161,175,184
2026-05-19 16:06:14,TIPO: EPC,274,128,145,155
2026-05-19 16:06:19,TIPO: UST,586,107,116,121
2026-05-19 16:06:20,TIPO: BUG,19,11,16,18
2026-05-19 16:06:21,TIPO: OPS,95,27,31,33
2026-05-19 16:06:22,TIPO: TST,59,20,25,28
2026-05-19 16:06:22,TIPO: UTSK,3,3,3,3
2026-05-19 16:06:23,TIPO: IMP,9,9,9,9
2026-05-19 16:06:23,TIPO: STK,35,16,21,23
2026-05-19 16:06:24,TIPO: RSCH,3,2,3,3
2026-05-19 16:06:34,SPRINT: Backlog Fora de Sprint,1665,183,197,204
2026-05-19 16:06:34,SPRINT 19 - FRANCA (STK+BUG+OPS),149,17,21,24
2026-05-19 17:25:52,TIPO: INI,581,162,176,183
2026-05-19 17:25:56,TIPO: EPC,274,128,145,155
2026-05-19 17:26:00,TIPO: UST,586,107,116,121
2026-05-19 17:26:01,TIPO: BUG,19,11,16,18
2026-05-19 17:26:02,TIPO: OPS,95,27,31,33
2026-05-19 17:26:02,TIPO: TST,59,20,25,28
2026-05-19 17:26:03,TIPO: UTSK,3,3,3,3
2026-05-19 17:26:03,TIPO: IMP,9,9,9,9
2026-05-19 17:26:03,TIPO: STK,35,16,21,23
2026-05-19 17:26:03,TIPO: RSCH,3,2,3,3
2026-05-19 17:26:10,SPRINT: Backlog Fora de Sprint,1665,184,197,204
2026-05-19 17:26:10,SPRINT 19 - FRANCA (ESTIMADA),52,6,9,11
2026-05-20 10:35:48,SPRINT 19 - FRANCA,52,6,9,11
